59,select #
2016-12-11 00:00:00,1
2016-12-11 00:01:00,1
2016-12-11 00:03:00,1
2016-12-11 00:06:00,1
2016-12-11 00:07:00,1
2016-12-11 00:34:00,1
2016-12-11 00:36:00,1
2016-12-11 00:38:00,1
2016-12-11 00:47:00,1
2016-12-11 01:14:00,1
2016-12-11 01:24:00,1
2016-12-11 01:40:00,1
2016-12-11 01:42:00,1
2016-12-11 01:43:00,1
2016-12-11 01:46:00,1
2016-12-11 01:52:00,1
2016-12-11 01:58:00,1
2016-12-11 02:04:00,1
2016-12-11 02:11:00,1
2016-12-11 02:56:00,1
2016-12-11 02:57:00,1
2016-12-11 02:59:00,1
2016-12-11 03:27:00,1
2016-12-11 03:28:00,1
2016-12-11 03:30:00,1
2016-12-11 03:31:00,1
2016-12-11 03:32:00,1
2016-12-11 03:33:00,1
2016-12-11 03:35:00,1
2016-12-11 03:36:00,1
2016-12-11 03:37:00,1
2016-12-11 03:39:00,1
2016-12-11 04:08:00,1
2016-12-11 04:41:00,1
2016-12-11 04:43:00,1
2016-12-11 04:44:00,1
2016-12-11 04:45:00,1
2016-12-11 04:46:00,1
2016-12-11 04:48:00,1
2016-12-11 04:49:00,1
2016-12-11 04:50:00,1
2016-12-11 04:51:00,1
2016-12-11 04:53:00,1
2016-12-11 04:54:00,1
2016-12-11 04:55:00,1
2016-12-11 05:00:00,1
2016-12-11 05:02:00,1
2016-12-11 05:03:00,1
2016-12-11 05:04:00,1
2016-12-11 05:13:00,1
2016-12-11 05:18:00,1
2016-12-11 05:23:00,1
2016-12-11 05:27:00,1
2016-12-11 05:28:00,1
2016-12-11 05:32:00,1
2016-12-11 05:36:00,1
2016-12-11 05:45:00,1
2016-12-11 05:47:00,1
2016-12-11 05:50:00,1
