125,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2016-12-13 00:00:00,1
2016-12-13 00:01:00,1
2016-12-13 00:02:00,1
2016-12-13 00:03:00,1
2016-12-13 00:04:00,1
2016-12-13 00:06:00,1
2016-12-13 00:07:00,1
2016-12-13 00:09:00,1
2016-12-13 00:13:00,1
2016-12-13 00:14:00,1
2016-12-13 00:16:00,1
2016-12-13 00:18:00,1
2016-12-13 00:20:00,1
2016-12-13 00:26:00,1
2016-12-13 00:32:00,1
2016-12-13 00:33:00,1
2016-12-13 00:39:00,1
2016-12-13 00:41:00,1
2016-12-13 00:42:00,1
2016-12-13 00:43:00,1
2016-12-13 00:44:00,1
2016-12-13 00:46:00,1
2016-12-13 00:47:00,1
2016-12-13 00:54:00,1
2016-12-13 00:56:00,1
2016-12-13 00:57:00,1
2016-12-13 00:58:00,1
2016-12-13 01:00:00,2
2016-12-13 01:02:00,1
2016-12-13 01:03:00,1
2016-12-13 01:04:00,1
2016-12-13 01:05:00,1
2016-12-13 01:07:00,1
2016-12-13 01:08:00,1
2016-12-13 01:09:00,1
2016-12-13 01:10:00,1
2016-12-13 01:12:00,1
2016-12-13 01:13:00,1
2016-12-13 01:14:00,1
2016-12-13 01:15:00,1
2016-12-13 01:17:00,1
2016-12-13 01:18:00,1
2016-12-13 01:37:00,1
2016-12-13 01:52:00,1
2016-12-13 01:53:00,1
2016-12-13 01:58:00,1
2016-12-13 02:01:00,1
2016-12-13 02:02:00,1
2016-12-13 02:03:00,1
2016-12-13 02:04:00,1
2016-12-13 02:06:00,1
2016-12-13 02:07:00,1
2016-12-13 02:08:00,1
2016-12-13 02:13:00,1
2016-12-13 02:24:00,1
2016-12-13 02:25:00,1
2016-12-13 02:26:00,1
2016-12-13 02:28:00,1
2016-12-13 02:29:00,1
2016-12-13 02:30:00,1
2016-12-13 02:31:00,1
2016-12-13 02:33:00,1
2016-12-13 02:34:00,1
2016-12-13 02:35:00,1
2016-12-13 02:36:00,1
2016-12-13 02:38:00,1
2016-12-13 02:40:00,1
2016-12-13 02:41:00,1
2016-12-13 02:42:00,1
2016-12-13 02:43:00,1
2016-12-13 02:45:00,1
2016-12-13 02:46:00,1
2016-12-13 02:47:00,1
2016-12-13 02:48:00,1
2016-12-13 02:50:00,1
2016-12-13 02:51:00,1
2016-12-13 02:52:00,1
2016-12-13 02:54:00,1
2016-12-13 02:55:00,1
2016-12-13 02:57:00,1
2016-12-13 02:58:00,1
2016-12-13 02:59:00,1
2016-12-13 03:00:00,1
2016-12-13 03:09:00,1
2016-12-13 03:24:00,1
2016-12-13 03:25:00,1
2016-12-13 03:26:00,1
2016-12-13 03:27:00,1
2016-12-13 03:29:00,1
2016-12-13 03:30:00,1
2016-12-13 03:31:00,1
2016-12-13 03:32:00,1
2016-12-13 03:39:00,1
2016-12-13 03:40:00,1
2016-12-13 03:41:00,1
2016-12-13 03:43:00,1
2016-12-13 03:44:00,1
2016-12-13 03:45:00,1
2016-12-13 03:46:00,1
2016-12-13 03:48:00,1
2016-12-13 03:49:00,1
2016-12-13 03:50:00,1
2016-12-13 03:51:00,1
2016-12-13 03:53:00,1
2016-12-13 04:02:00,1
2016-12-13 04:03:00,1
2016-12-13 04:04:00,1
2016-12-13 04:06:00,1
2016-12-13 04:07:00,1
2016-12-13 04:08:00,1
2016-12-13 04:11:00,1
2016-12-13 04:14:00,1
2016-12-13 04:16:00,1
2016-12-13 04:19:00,1
2016-12-13 04:21:00,1
2016-12-13 04:39:00,1
2016-12-13 04:51:00,1
2016-12-13 04:52:00,1
2016-12-13 04:59:00,1
2016-12-13 05:01:00,1
2016-12-13 05:02:00,1
2016-12-13 05:03:00,2
2016-12-13 05:04:00,1
