352,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-10 05:00:00,10
2016-12-10 05:01:00,10
2016-12-10 05:02:00,11
2016-12-10 05:03:00,12
2016-12-10 05:04:00,12
2016-12-10 05:05:00,13
2016-12-10 05:06:00,8
2016-12-10 05:07:00,14
2016-12-10 05:08:00,18
2016-12-10 05:09:00,17
2016-12-10 05:10:00,19
2016-12-10 05:11:00,22
2016-12-10 05:12:00,12
2016-12-10 05:13:00,25
2016-12-10 05:14:00,25
2016-12-10 05:15:00,24
2016-12-10 05:16:00,24
2016-12-10 05:17:00,26
2016-12-10 05:18:00,14
2016-12-10 05:19:00,24
2016-12-10 05:20:00,12
