47,select #
2016-12-31 00:10:00,1
2016-12-31 00:13:00,1
2016-12-31 00:15:00,1
2016-12-31 00:16:00,1
2016-12-31 00:23:00,1
2016-12-31 00:25:00,1
2016-12-31 00:27:00,1
2016-12-31 00:31:00,1
2016-12-31 00:32:00,1
2016-12-31 00:40:00,1
2016-12-31 00:43:00,1
2016-12-31 01:15:00,1
2016-12-31 01:17:00,1
2016-12-31 01:28:00,1
2016-12-31 01:29:00,1
2016-12-31 01:39:00,1
2016-12-31 01:42:00,1
2016-12-31 01:43:00,1
2016-12-31 01:44:00,1
2016-12-31 01:53:00,1
2016-12-31 02:02:00,1
2016-12-31 02:03:00,1
2016-12-31 02:07:00,1
2016-12-31 02:08:00,1
2016-12-31 02:09:00,1
2016-12-31 02:10:00,1
2016-12-31 02:53:00,1
2016-12-31 03:42:00,1
2016-12-31 03:43:00,1
2016-12-31 03:44:00,1
2016-12-31 03:46:00,1
2016-12-31 03:47:00,1
2016-12-31 03:48:00,1
2016-12-31 03:49:00,1
2016-12-31 03:51:00,1
2016-12-31 03:52:00,1
2016-12-31 03:53:00,1
2016-12-31 03:54:00,1
2016-12-31 03:55:00,1
2016-12-31 04:39:00,1
2016-12-31 04:53:00,1
2016-12-31 05:00:00,1
2016-12-31 05:02:00,1
2016-12-31 05:12:00,1
2016-12-31 05:26:00,1
2016-12-31 05:43:00,1
2016-12-31 05:44:00,1
