96,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2016-12-25 00:02:00,1
2016-12-25 00:03:00,1
2016-12-25 00:06:00,1
2016-12-25 00:12:00,1
2016-12-25 00:18:00,1
2016-12-25 00:19:00,1
2016-12-25 00:24:00,1
2016-12-25 00:28:00,1
2016-12-25 00:35:00,1
2016-12-25 00:44:00,1
2016-12-25 00:48:00,1
2016-12-25 01:00:00,1
2016-12-25 01:01:00,1
2016-12-25 01:04:00,1
2016-12-25 01:05:00,1
2016-12-25 01:08:00,1
2016-12-25 01:09:00,1
2016-12-25 01:12:00,1
2016-12-25 01:15:00,1
2016-12-25 01:24:00,1
2016-12-25 01:25:00,1
2016-12-25 01:29:00,1
2016-12-25 01:31:00,1
2016-12-25 01:36:00,1
2016-12-25 01:42:00,1
2016-12-25 01:47:00,1
2016-12-25 01:48:00,1
2016-12-25 01:51:00,1
2016-12-25 01:53:00,1
2016-12-25 02:02:00,1
2016-12-25 02:03:00,1
2016-12-25 02:06:00,1
2016-12-25 02:09:00,1
2016-12-25 02:13:00,1
2016-12-25 02:15:00,1
2016-12-25 02:18:00,1
2016-12-25 02:20:00,1
2016-12-25 02:23:00,1
2016-12-25 02:27:00,1
2016-12-25 02:29:00,1
2016-12-25 02:32:00,1
2016-12-25 02:34:00,1
2016-12-25 02:37:00,1
2016-12-25 02:38:00,1
2016-12-25 02:39:00,1
2016-12-25 02:40:00,1
2016-12-25 02:58:00,1
2016-12-25 03:11:00,1
2016-12-25 03:27:00,1
2016-12-25 03:28:00,1
2016-12-25 03:29:00,1
2016-12-25 03:30:00,1
2016-12-25 03:32:00,1
2016-12-25 03:33:00,1
2016-12-25 03:34:00,1
2016-12-25 03:35:00,1
2016-12-25 03:37:00,1
2016-12-25 03:38:00,1
2016-12-25 03:39:00,1
2016-12-25 03:40:00,1
2016-12-25 03:47:00,1
2016-12-25 03:56:00,1
2016-12-25 03:58:00,1
2016-12-25 03:59:00,1
2016-12-25 04:00:00,1
2016-12-25 04:01:00,1
2016-12-25 04:03:00,1
2016-12-25 04:04:00,1
2016-12-25 04:05:00,1
2016-12-25 04:08:00,1
2016-12-25 04:10:00,1
2016-12-25 04:39:00,1
2016-12-25 04:42:00,1
2016-12-25 04:43:00,1
2016-12-25 04:44:00,1
2016-12-25 04:46:00,1
2016-12-25 04:47:00,1
2016-12-25 04:48:00,1
2016-12-25 04:49:00,1
2016-12-25 04:51:00,1
2016-12-25 04:52:00,1
2016-12-25 04:53:00,1
2016-12-25 04:54:00,1
2016-12-25 04:55:00,1
2016-12-25 05:01:00,1
2016-12-25 05:07:00,1
2016-12-25 05:13:00,1
2016-12-25 05:14:00,1
2016-12-25 05:18:00,1
2016-12-25 05:19:00,1
2016-12-25 05:24:00,1
2016-12-25 05:31:00,1
2016-12-25 05:37:00,1
2016-12-25 05:39:00,1
2016-12-25 05:43:00,1
2016-12-25 05:50:00,1
