49,select #
2016-12-27 00:02:00,1
2016-12-27 00:05:00,1
2016-12-27 00:10:00,1
2016-12-27 00:13:00,1
2016-12-27 00:19:00,1
2016-12-27 00:35:00,1
2016-12-27 00:39:00,1
2016-12-27 00:43:00,1
2016-12-27 00:45:00,1
2016-12-27 00:58:00,1
2016-12-27 01:05:00,1
2016-12-27 01:21:00,1
2016-12-27 01:22:00,1
2016-12-27 01:23:00,1
2016-12-27 01:27:00,1
2016-12-27 01:28:00,1
2016-12-27 01:29:00,1
2016-12-27 01:41:00,1
2016-12-27 01:47:00,1
2016-12-27 01:48:00,1
2016-12-27 02:27:00,1
2016-12-27 02:30:00,1
2016-12-27 02:32:00,1
2016-12-27 02:35:00,1
2016-12-27 02:37:00,1
2016-12-27 02:41:00,1
2016-12-27 02:57:00,1
2016-12-27 03:08:00,1
2016-12-27 03:20:00,1
2016-12-27 03:58:00,1
2016-12-27 04:00:00,1
2016-12-27 04:03:00,1
2016-12-27 04:05:00,1
2016-12-27 04:08:00,1
2016-12-27 04:13:00,1
2016-12-27 04:16:00,1
2016-12-27 04:18:00,1
2016-12-27 04:21:00,1
2016-12-27 04:24:00,1
2016-12-27 04:43:00,1
2016-12-27 04:46:00,1
2016-12-27 04:48:00,1
2016-12-27 04:51:00,1
2016-12-27 04:54:00,1
2016-12-27 05:14:00,1
2016-12-27 05:16:00,1
2016-12-27 05:17:00,1
2016-12-27 05:29:00,1
2016-12-27 05:31:00,1
