50,select #
2017-01-10 00:01:00,1
2017-01-10 00:02:00,1
2017-01-10 00:05:00,1
2017-01-10 00:10:00,1
2017-01-10 00:14:00,1
2017-01-10 00:25:00,1
2017-01-10 00:28:00,1
2017-01-10 00:32:00,1
2017-01-10 00:41:00,1
2017-01-10 00:47:00,1
2017-01-10 00:52:00,1
2017-01-10 01:00:00,1
2017-01-10 01:11:00,1
2017-01-10 01:13:00,1
2017-01-10 01:20:00,1
2017-01-10 01:21:00,1
2017-01-10 01:24:00,1
2017-01-10 01:33:00,1
2017-01-10 01:34:00,1
2017-01-10 01:39:00,1
2017-01-10 01:45:00,1
2017-01-10 01:55:00,1
2017-01-10 02:05:00,1
2017-01-10 02:09:00,1
2017-01-10 02:13:00,1
2017-01-10 02:14:00,1
2017-01-10 02:15:00,1
2017-01-10 02:17:00,1
2017-01-10 02:18:00,1
2017-01-10 02:19:00,1
2017-01-10 02:20:00,1
2017-01-10 02:22:00,1
2017-01-10 02:23:00,1
2017-01-10 03:08:00,1
2017-01-10 03:25:00,1
2017-01-10 03:26:00,1
2017-01-10 03:27:00,1
2017-01-10 03:28:00,1
2017-01-10 03:30:00,2
2017-01-10 03:32:00,1
2017-01-10 03:33:00,1
2017-01-10 03:34:00,1
2017-01-10 03:35:00,1
2017-01-10 03:37:00,1
2017-01-10 03:38:00,1
2017-01-10 04:30:00,1
2017-01-10 04:36:00,1
2017-01-10 04:37:00,1
2017-01-10 04:38:00,1
