61,select #
2016-12-12 00:02:00,1
2016-12-12 00:10:00,1
2016-12-12 00:17:00,1
2016-12-12 00:18:00,1
2016-12-12 00:28:00,1
2016-12-12 00:32:00,1
2016-12-12 00:37:00,1
2016-12-12 00:40:00,1
2016-12-12 00:42:00,1
2016-12-12 00:43:00,1
2016-12-12 00:46:00,1
2016-12-12 01:02:00,1
2016-12-12 01:03:00,1
2016-12-12 01:04:00,1
2016-12-12 01:06:00,1
2016-12-12 01:08:00,1
2016-12-12 01:22:00,1
2016-12-12 01:24:00,1
2016-12-12 01:30:00,1
2016-12-12 01:40:00,1
2016-12-12 01:46:00,1
2016-12-12 02:00:00,1
2016-12-12 02:08:00,1
2016-12-12 02:13:00,1
2016-12-12 02:15:00,1
2016-12-12 02:18:00,1
2016-12-12 02:20:00,1
2016-12-12 02:23:00,1
2016-12-12 02:24:00,1
2016-12-12 02:28:00,1
2016-12-12 02:31:00,1
2016-12-12 02:33:00,1
2016-12-12 02:36:00,1
2016-12-12 02:39:00,1
2016-12-12 03:02:00,1
2016-12-12 03:04:00,1
2016-12-12 03:06:00,1
2016-12-12 03:07:00,1
2016-12-12 03:09:00,1
2016-12-12 03:10:00,1
2016-12-12 04:12:00,1
2016-12-12 04:13:00,1
2016-12-12 04:14:00,1
2016-12-12 04:15:00,1
2016-12-12 04:17:00,1
2016-12-12 04:18:00,1
2016-12-12 04:19:00,1
2016-12-12 04:20:00,1
2016-12-12 04:22:00,1
2016-12-12 04:23:00,1
2016-12-12 04:24:00,1
2016-12-12 04:25:00,1
2016-12-12 04:39:00,1
2016-12-12 04:40:00,1
2016-12-12 04:53:00,1
2016-12-12 05:06:00,1
2016-12-12 05:12:00,1
2016-12-12 05:17:00,1
2016-12-12 05:28:00,1
2016-12-12 05:29:00,1
2016-12-12 05:30:00,1
