56,select #
2016-12-05 00:00:00,1
2016-12-05 00:01:00,1
2016-12-05 00:07:00,1
2016-12-05 00:14:00,1
2016-12-05 00:15:00,1
2016-12-05 00:23:00,1
2016-12-05 00:24:00,1
2016-12-05 00:25:00,1
2016-12-05 00:34:00,1
2016-12-05 00:36:00,1
2016-12-05 00:38:00,1
2016-12-05 00:39:00,1
2016-12-05 00:42:00,1
2016-12-05 00:45:00,1
2016-12-05 01:10:00,1
2016-12-05 01:16:00,1
2016-12-05 01:18:00,1
2016-12-05 01:32:00,1
2016-12-05 01:33:00,1
2016-12-05 01:34:00,1
2016-12-05 01:36:00,1
2016-12-05 01:41:00,1
2016-12-05 01:56:00,1
2016-12-05 02:01:00,1
2016-12-05 02:03:00,1
2016-12-05 02:26:00,1
2016-12-05 02:28:00,1
2016-12-05 02:29:00,1
2016-12-05 02:30:00,1
2016-12-05 02:31:00,1
2016-12-05 02:33:00,1
2016-12-05 02:34:00,1
2016-12-05 02:35:00,1
2016-12-05 02:36:00,1
2016-12-05 02:38:00,1
2016-12-05 02:40:00,1
2016-12-05 03:00:00,1
2016-12-05 03:02:00,1
2016-12-05 03:05:00,1
2016-12-05 03:07:00,1
2016-12-05 03:38:00,1
2016-12-05 04:11:00,1
2016-12-05 04:12:00,1
2016-12-05 04:14:00,1
2016-12-05 04:15:00,1
2016-12-05 04:16:00,1
2016-12-05 04:17:00,1
2016-12-05 04:18:00,1
2016-12-05 04:42:00,1
2016-12-05 04:43:00,1
2016-12-05 04:45:00,1
2016-12-05 04:56:00,1
2016-12-05 04:58:00,1
2016-12-05 04:59:00,1
2016-12-05 05:03:00,1
2016-12-05 05:26:00,1
