3,"select a.agency_id, a.agency_id_id, agency_name, agency_phone, ra.agency_lat, ra.agency_lon from m.agency a, m.region_agency ra where a.region_id=$# and a.agency_id_id = ra.agency_id_id and a.valid_now = # order by agency_id"
2016-12-22 00:41:00,1
2016-12-22 01:41:00,1
2016-12-22 04:11:00,1
