36,select #
2016-12-16 00:16:00,1
2016-12-16 00:25:00,1
2016-12-16 00:40:00,1
2016-12-16 00:42:00,1
2016-12-16 00:44:00,1
2016-12-16 00:54:00,1
2016-12-16 00:57:00,1
2016-12-16 01:05:00,1
2016-12-16 01:11:00,1
2016-12-16 01:28:00,1
2016-12-16 01:32:00,1
2016-12-16 01:38:00,1
2016-12-16 01:48:00,1
2016-12-16 01:50:00,1
2016-12-16 01:56:00,1
2016-12-16 02:01:00,1
2016-12-16 02:07:00,1
2016-12-16 02:09:00,1
2016-12-16 02:11:00,1
2016-12-16 02:56:00,1
2016-12-16 03:10:00,1
2016-12-16 03:53:00,1
2016-12-16 04:32:00,1
2016-12-16 04:35:00,1
2016-12-16 04:37:00,1
2016-12-16 04:43:00,1
2016-12-16 04:44:00,1
2016-12-16 04:46:00,1
2016-12-16 04:49:00,1
2016-12-16 04:51:00,1
2016-12-16 04:55:00,1
2016-12-16 04:57:00,1
2016-12-16 04:59:00,1
2016-12-16 05:03:00,1
2016-12-16 05:05:00,1
2016-12-16 05:10:00,1
