64,SELECT DISTINCT agency_timezone FROM m.agency WHERE agency_id = $#
2017-01-08 00:01:00,1
2017-01-08 00:07:00,1
2017-01-08 00:11:00,1
2017-01-08 00:19:00,1
2017-01-08 00:27:00,1
2017-01-08 00:29:00,1
2017-01-08 00:36:00,1
2017-01-08 00:41:00,1
2017-01-08 00:44:00,1
2017-01-08 00:46:00,1
2017-01-08 00:49:00,1
2017-01-08 00:53:00,1
2017-01-08 00:57:00,1
2017-01-08 01:04:00,1
2017-01-08 01:09:00,1
2017-01-08 01:11:00,1
2017-01-08 01:12:00,1
2017-01-08 01:14:00,1
2017-01-08 01:15:00,1
2017-01-08 01:19:00,1
2017-01-08 01:22:00,1
2017-01-08 01:28:00,1
2017-01-08 01:40:00,1
2017-01-08 01:43:00,1
2017-01-08 01:51:00,1
2017-01-08 01:52:00,1
2017-01-08 01:58:00,1
2017-01-08 02:00:00,1
2017-01-08 02:03:00,1
2017-01-08 02:04:00,1
2017-01-08 02:08:00,1
2017-01-08 02:09:00,1
2017-01-08 02:11:00,1
2017-01-08 02:21:00,1
2017-01-08 02:31:00,1
2017-01-08 02:33:00,1
2017-01-08 02:39:00,1
2017-01-08 02:44:00,1
2017-01-08 02:45:00,1
2017-01-08 02:47:00,1
2017-01-08 02:48:00,1
2017-01-08 02:50:00,1
2017-01-08 02:52:00,1
2017-01-08 02:56:00,1
2017-01-08 02:57:00,1
2017-01-08 02:59:00,1
2017-01-08 03:22:00,1
2017-01-08 03:24:00,1
2017-01-08 03:27:00,1
2017-01-08 04:11:00,1
2017-01-08 04:13:00,1
2017-01-08 04:25:00,1
2017-01-08 04:31:00,1
2017-01-08 04:36:00,1
2017-01-08 04:44:00,1
2017-01-08 04:46:00,1
2017-01-08 04:52:00,1
2017-01-08 05:05:00,1
2017-01-08 05:18:00,1
2017-01-08 05:25:00,1
2017-01-08 05:31:00,1
2017-01-08 05:37:00,1
2017-01-08 05:40:00,1
2017-01-08 05:56:00,1
