68,select #
2016-12-14 00:06:00,1
2016-12-14 00:09:00,1
2016-12-14 00:13:00,1
2016-12-14 00:18:00,1
2016-12-14 00:25:00,1
2016-12-14 00:35:00,1
2016-12-14 00:38:00,1
2016-12-14 00:40:00,1
2016-12-14 00:44:00,1
2016-12-14 00:47:00,1
2016-12-14 00:55:00,1
2016-12-14 00:57:00,1
2016-12-14 00:59:00,1
2016-12-14 01:00:00,1
2016-12-14 01:06:00,1
2016-12-14 01:08:00,1
2016-12-14 01:11:00,1
2016-12-14 01:23:00,1
2016-12-14 01:24:00,1
2016-12-14 01:29:00,1
2016-12-14 01:35:00,1
2016-12-14 01:36:00,1
2016-12-14 01:39:00,1
2016-12-14 01:49:00,1
2016-12-14 01:53:00,1
2016-12-14 01:54:00,1
2016-12-14 02:09:00,1
2016-12-14 02:23:00,1
2016-12-14 02:24:00,1
2016-12-14 02:31:00,1
2016-12-14 02:33:00,1
2016-12-14 02:34:00,1
2016-12-14 02:50:00,1
2016-12-14 02:51:00,1
2016-12-14 02:52:00,1
2016-12-14 02:54:00,1
2016-12-14 02:56:00,1
2016-12-14 03:00:00,1
2016-12-14 03:04:00,1
2016-12-14 03:11:00,1
2016-12-14 03:18:00,1
2016-12-14 03:19:00,1
2016-12-14 03:20:00,1
2016-12-14 03:33:00,1
2016-12-14 03:34:00,1
2016-12-14 03:35:00,1
2016-12-14 03:37:00,1
2016-12-14 03:38:00,1
2016-12-14 03:41:00,1
2016-12-14 03:46:00,1
2016-12-14 03:47:00,1
2016-12-14 03:57:00,1
2016-12-14 03:58:00,1
2016-12-14 04:12:00,1
2016-12-14 04:14:00,1
2016-12-14 04:15:00,1
2016-12-14 04:18:00,1
2016-12-14 04:19:00,1
2016-12-14 04:21:00,1
2016-12-14 04:26:00,1
2016-12-14 04:30:00,1
2016-12-14 04:31:00,1
2016-12-14 04:32:00,1
2016-12-14 04:42:00,1
2016-12-14 04:55:00,1
2016-12-14 05:15:00,1
2016-12-14 05:17:00,1
2016-12-14 05:18:00,1
