42,select #
2017-01-03 00:00:00,1
2017-01-03 00:01:00,1
2017-01-03 00:19:00,1
2017-01-03 00:21:00,1
2017-01-03 00:34:00,1
2017-01-03 00:51:00,1
2017-01-03 00:58:00,1
2017-01-03 01:02:00,1
2017-01-03 01:06:00,1
2017-01-03 01:16:00,1
2017-01-03 01:18:00,1
2017-01-03 01:22:00,1
2017-01-03 01:37:00,1
2017-01-03 01:42:00,1
2017-01-03 01:44:00,1
2017-01-03 01:47:00,1
2017-01-03 01:50:00,1
2017-01-03 01:55:00,1
2017-01-03 01:56:00,1
2017-01-03 02:02:00,1
2017-01-03 02:06:00,1
2017-01-03 02:07:00,1
2017-01-03 02:10:00,1
2017-01-03 02:17:00,1
2017-01-03 02:22:00,1
2017-01-03 02:34:00,1
2017-01-03 02:39:00,1
2017-01-03 02:42:00,1
2017-01-03 02:49:00,1
2017-01-03 03:02:00,1
2017-01-03 03:15:00,1
2017-01-03 03:19:00,1
2017-01-03 03:27:00,1
2017-01-03 04:07:00,1
2017-01-03 04:18:00,1
2017-01-03 04:19:00,1
2017-01-03 04:20:00,1
2017-01-03 04:23:00,1
2017-01-03 04:29:00,1
2017-01-03 04:45:00,1
2017-01-03 04:49:00,1
2017-01-03 05:34:00,1
