41,select #
2016-12-23 00:02:00,1
2016-12-23 00:06:00,1
2016-12-23 00:20:00,1
2016-12-23 00:29:00,1
2016-12-23 00:41:00,1
2016-12-23 00:44:00,1
2016-12-23 00:53:00,1
2016-12-23 00:56:00,1
2016-12-23 01:08:00,1
2016-12-23 01:13:00,1
2016-12-23 01:17:00,1
2016-12-23 01:22:00,1
2016-12-23 01:36:00,1
2016-12-23 01:41:00,1
2016-12-23 01:43:00,1
2016-12-23 01:44:00,1
2016-12-23 01:47:00,1
2016-12-23 01:51:00,1
2016-12-23 01:55:00,1
2016-12-23 02:27:00,1
2016-12-23 02:38:00,1
2016-12-23 03:08:00,1
2016-12-23 03:41:00,1
2016-12-23 03:43:00,1
2016-12-23 03:44:00,1
2016-12-23 03:45:00,1
2016-12-23 03:46:00,1
2016-12-23 03:48:00,1
2016-12-23 03:49:00,1
2016-12-23 03:50:00,1
2016-12-23 03:51:00,1
2016-12-23 03:53:00,1
2016-12-23 03:55:00,1
2016-12-23 04:23:00,1
2016-12-23 04:55:00,1
2016-12-23 05:00:00,1
2016-12-23 05:18:00,2
2016-12-23 05:24:00,1
2016-12-23 05:26:00,1
2016-12-23 05:28:00,1
